White Player,Black Player,White Depth,Black Depth,White Turn Time,Black Turn Time,Number of Moves,Winning Player
Minimax AI,Stockfish AI,2.0,2.0,1.351592779,9.526869774,102,black
Minimax AI,Stockfish AI,2.0,2.0,1.637643814,12.64701891,128,black
Random AI,Minimax AI,,3.0,0.0010004043579101,7.246840476989746,44,black
Random AI,Minimax AI,,3.0,0.001000165939331,4.872679710388184,38,black
Random AI,Minimax AI,,3.0,0.0001258850097656,7.467450141906738,60,black
Random AI,Minimax AI,,4.0,0.0035037994384765,112.65578889846802,62,black
Random AI,Minimax AI,,4.0,0.002286672592163,750.1552987098694,904,draw
Random AI,Minimax AI,,4.0,0.0,19.439522743225098,12,black
Random AI,Minimax AI,,5.0,0.0025482177734375,1469.698346376419,156,black
Random AI,Minimax AI,,5.0,0.0020051002502441,633.5139977931976,62,black
Random AI,Minimax AI,,5.0,0.003000259399414,1472.7970995903015,116,black
Random AI,Stockfish AI,,3.0,0.0,4.132846593856812,58,black
Random AI,Stockfish AI,,3.0,0.0030784606933593,6.286104679107666,88,black
Random AI,Stockfish AI,,3.0,0.0,3.119220495223999,44,black
Random AI,Stockfish AI,,4.0,0.0015184879302978,2.827166795730591,40,black
Random AI,Stockfish AI,,4.0,0.0,3.6897377967834473,52,black
Random AI,Stockfish AI,,4.0,0.0010008811950683,2.8280069828033447,40,black
Random AI,Stockfish AI,,5.0,0.0035264492034912,3.866122007369995,54,black
Random AI,Stockfish AI,,5.0,0.0009984970092773,0.8498244285583496,12,black
Random AI,Stockfish AI,,5.0,0.0,0.2857215404510498,4,black
Random AI,Minimax AI,,6.0,0.0065877437591552,11056.751640081406,692,draw
Random AI,Minimax AI,,6.0,0.0015034675598144,2301.641760826111,79,white
Random AI,Minimax AI,,6.0,0.0,2555.172949314117,90,black
Random AI,Stockfish AI,,6.0,0.0,2.004178047180176,28,black
Random AI,Stockfish AI,,6.0,0.0009679794311523,7.321690797805786,96,black
Random AI,Stockfish AI,,6.0,0.0,2.5953149795532227,34,black
Random AI,Stockfish AI,,7.0,0.0010006427764892,1.951608657836914,26,black
Random AI,Stockfish AI,,7.0,0.0,3.966647148132324,52,black
Random AI,Stockfish AI,,7.0,0.0,1.5037331581115725,20,black
Random AI,Stockfish AI,,8.0,0.003103494644165,7.056590557098389,96,black
Random AI,Stockfish AI,,8.0,0.0,1.3323829174041748,18,black
Random AI,Stockfish AI,,8.0,0.0045101642608642,4.276630878448486,58,black
Random AI,Stockfish AI,,9.0,0.0,0.927379846572876,12,black
Random AI,Stockfish AI,,9.0,0.0,2.971035957336426,40,black
Random AI,Stockfish AI,,9.0,0.0010762214660644,0.5947389602661133,8,black
Random AI,Stockfish AI,,8.0,0.0008373260498046,2.5104055404663086,36,black
Random AI,Stockfish AI,,8.0,0.0009686946868896,2.764204502105713,40,black
Random AI,Stockfish AI,,8.0,0.0,3.358607530593872,48,black
Random AI,Stockfish AI,,9.0,0.0,3.063612461090088,44,black
Random AI,Stockfish AI,,9.0,0.0,1.4442346096038818,20,black
Random AI,Stockfish AI,,9.0,0.0,5.509610652923584,74,black
Random AI,Stockfish AI,,10.0,0.0020015239715576,1.00459623336792,14,black
Random AI,Stockfish AI,,10.0,0.0,3.607397079467773,52,black
Random AI,Stockfish AI,,10.0,0.0029981136322021,4.023659944534302,58,black
Random AI,Stockfish AI,,11.0,0.0021231174468994,2.2407851219177246,32,black
Random AI,Stockfish AI,,11.0,0.0,1.5476272106170654,22,black
Random AI,Stockfish AI,,11.0,0.0010030269622802,3.293285608291626,46,black
Random AI,Stockfish AI,,12.0,0.0,2.003908157348633,26,black
Random AI,Stockfish AI,,12.0,0.0,2.2116072177886963,28,black
Random AI,Stockfish AI,,12.0,0.0030004978179931,3.669597148895264,48,black
Random AI,Stockfish AI,,13.0,0.0009963512420654,2.4690163135528564,32,black
Random AI,Stockfish AI,,13.0,0.0,1.5756011009216309,20,black
Random AI,Stockfish AI,,13.0,0.0006139278411865,2.5843021869659424,34,black
Random AI,Stockfish AI,,14.0,0.0,1.2543084621429443,14,black
Random AI,Stockfish AI,,14.0,0.0,3.1235036849975586,38,black
Random AI,Stockfish AI,,14.0,0.0,1.6610701084136963,20,black
Random AI,Stockfish AI,,15.0,0.0,0.8755588531494141,10,black
Random AI,Stockfish AI,,15.0,7.772445678710938e-05,3.304569721221924,34,black
Random AI,Stockfish AI,,15.0,0.0019967555999755,2.3304457664489746,24,black
Random AI,Stockfish AI,,16.0,0.0,1.912278652191162,18,black
Random AI,Stockfish AI,,16.0,0.0016138553619384,3.3030648231506348,30,black
Random AI,Stockfish AI,,16.0,0.0009989738464355,4.709165811538696,42,black
Random AI,Stockfish AI,,17.0,0.0010006427764892,4.734060287475586,30,black
Random AI,Stockfish AI,,17.0,0.0,6.405848026275635,38,black
Random AI,Stockfish AI,,17.0,0.001000165939331,3.793779373168945,26,black
Random AI,Stockfish AI,,18.0,0.0,4.752384901046753,26,black
Random AI,Stockfish AI,,18.0,0.0001029968261718,3.4690890312194824,20,black
Random AI,Stockfish AI,,18.0,0.0,5.052463531494141,22,black
Random AI,Stockfish AI,,19.0,0.0005249977111816,2.829808235168457,12,black
Random AI,Stockfish AI,,19.0,0.0,5.096063852310181,24,black
Random AI,Stockfish AI,,19.0,0.0,8.356968641281128,30,black
Random AI,Stockfish AI,,20.0,0.0,14.133638143539429,38,black
Random AI,Stockfish AI,,20.0,0.0010006427764892,11.560722827911375,38,black
Random AI,Stockfish AI,,20.0,0.0015103816986083,16.617117643356323,40,black
Random AI,Stockfish AI,,21.0,0.001000165939331,13.015902996063232,24,black
Random AI,Stockfish AI,,21.0,0.0010364055633544,18.82789874076844,32,black
Random AI,Stockfish AI,,21.0,0.0,10.841035842895508,20,black
Random AI,Stockfish AI,,22.0,0.0,17.878293991088867,30,black
Random AI,Stockfish AI,,22.0,0.0,12.717111587524414,22,black
Random AI,Stockfish AI,,22.0,0.001000165939331,36.23805856704712,38,black
Random AI,Stockfish AI,,23.0,0.0,31.590105295181274,30,black
Random AI,Stockfish AI,,23.0,0.0,5.174240350723267,8,black
Random AI,Stockfish AI,,23.0,0.0,44.42657542228699,34,black
Random AI,Minimax AI,,1.0,7.796287536621094e-05,0.1163618564605712,303,draw
Random AI,Minimax AI,,1.0,9.65595245361328e-05,0.0565688610076904,88,black
Random AI,Minimax AI,,1.0,0.0,0.0235192775726318,34,black
Random AI,Minimax AI,,2.0,0.0,0.7097265720367432,36,black
Random AI,Minimax AI,,2.0,0.0026638507843017,3.2870264053344727,164,black
Random AI,Minimax AI,,2.0,0.0020027160644531,4.474262952804565,218,black
Random AI,Minimax AI,,1.0,0.0014858245849609,0.1706938743591308,479,draw
Random AI,Minimax AI,,1.0,0.0016252994537353,0.1304769515991211,257,draw
Random AI,Minimax AI,,1.0,0.0010004043579101,0.0555715560913085,109,white
Random AI,Minimax AI,,1.0,9.441375732421876e-05,0.07883882522583,171,white
